Dataset,Model,RMSE,MAE,R2
Original Capped,Linear Regression,0.49643143614144075,0.3769413945705174,0.5202808122466237
Original Capped,Ridge Regression,0.49643156862962873,0.3769412379917588,0.5202805561905814
Original Capped,Lasso Regression,0.5351536220370767,0.4040282121826919,0.4425248951297175
Original Trimmed,Linear Regression,0.4888457485094077,0.3717003527956184,0.5289697341241035
Original Trimmed,Ridge Regression,0.4888457029990843,0.37170022724242474,0.528969821827592
Original Trimmed,Lasso Regression,0.5258937927892556,0.39834578607115373,0.4548685753544315
NoDup Capped,Linear Regression,0.5273132267744497,0.40395775429626757,0.5054545393577706
NoDup Capped,Ridge Regression,0.5273134252700058,0.4039575589144919,0.5054541670360091
NoDup Capped,Lasso Regression,0.5608011288478996,0.42729837875674437,0.4406461287256346
NoDup Trimmed,Linear Regression,0.5336388160120431,0.40336707671715044,0.4978538174479833
NoDup Trimmed,Ridge Regression,0.5336387403631332,0.40336682457256856,0.49785395981696956
NoDup Trimmed,Lasso Regression,0.5673536518085657,0.4292681984037353,0.4323991322807065
Final Imputed Capped,Linear Regression,0.4976776440378148,0.3778029097654981,0.5178692799703124
Final Imputed Capped,Ridge Regression,0.4976777717466849,0.3778027282627845,0.5178690325315207
Final Imputed Capped,Lasso Regression,0.5351521373628034,0.4040340941336717,0.4425279883267509
Final Imputed Trimmed,Linear Regression,0.4897986466940292,0.3723476184401307,0.5271316027779169
Final Imputed Trimmed,Ridge Regression,0.4897986003245801,0.37234748317708,0.5271316923112228
Final Imputed Trimmed,Lasso Regression,0.5258954145051733,0.3983452495900541,0.454865213269981
